selected_indicators.country_name,selected_indicators.country_code,selected_indicators.indicator_name,selected_indicators.indicator_code,selected_indicators.y1960,selected_indicators.y1961,selected_indicators.y1962,selected_indicators.y1963,selected_indicators.y1964,selected_indicators.y1965,selected_indicators.y1966,selected_indicators.y1967,selected_indicators.y1968,selected_indicators.y1969,selected_indicators.y1970,selected_indicators.y1971,selected_indicators.y1972,selected_indicators.y1973,selected_indicators.y1974,selected_indicators.y1975,selected_indicators.y1976,selected_indicators.y1977,selected_indicators.y1978,selected_indicators.y1979,selected_indicators.y1980,selected_indicators.y1981,selected_indicators.y1982,selected_indicators.y1983,selected_indicators.y1984,selected_indicators.y1985,selected_indicators.y1986,selected_indicators.y1987,selected_indicators.y1988,selected_indicators.y1989,selected_indicators.y1990,selected_indicators.y1991,selected_indicators.y1992,selected_indicators.y1993,selected_indicators.y1994,selected_indicators.y1995,selected_indicators.y1996,selected_indicators.y1997,selected_indicators.y1998,selected_indicators.y1999,selected_indicators.y2000,selected_indicators.y2001,selected_indicators.y2002,selected_indicators.y2003,selected_indicators.y2004,selected_indicators.y2005,selected_indicators.y2006,selected_indicators.y2007,selected_indicators.y2008,selected_indicators.y2009,selected_indicators.y2010,selected_indicators.y2011,selected_indicators.y2012,selected_indicators.y2013,selected_indicators.y2014,selected_indicators.y2015,selected_indicators.y2016,selected_indicators.y2017,selected_indicators.y2018,selected_indicators.y2019,selected_indicators.y2020,selected_indicators.y2021,selected_indicators.y2022,selected_indicators.y2023,selected_indicators.y2024
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,9.14,9.2,9.19,8.87,9.86,11.23,10.25,10.03,9.47,9.34,9.43,10.13,11.89,12.395,11.775,12.21,12.5525,12.23833333,10.3625,9.3,8.895833333,8.785833333,9.3475,10.16166667,10.03083333,8.764166667,8.73,9.943333333,10.62833333,12.13416667,8.563333333,7.673333333,7.126666667,6.528333333,6.300833333,6.045833333,5.9525,6.485833333,6.409166667,6.08,5.084166667,5,4.915,4.785833333,4.6498,4.587025,4.565375,4.531066667,4.608078086,4.928440385,4.876892949,3.944207692,3.444106404,3.908026667,5.317375006,5.282681
Malaysia,MYS,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,8.080463689,10.61490897,11.19634405,11.95991671,11.18846952,12.36464088,13.19754754,14.39254251,16.57675331,18.37225887,21.28666836,22.5627171,24.24050633,27.78935,28.23650363,34.31578005,33.98255296,35.82374768,39.19284168,41.47746855,49.90939446,57.76144273,62.73292818,69.92689228,74.89013199,88.17464825,101.4660446,89.57661713,86.46248782,95.65288455,69.41266869,73.76054587,108.2573234,105.7071094,108.9096546,124.1596508,138.3745917,154.8921183,152.8500581,141.6665133,126.7293384,127.2322058,121.3519168,118.5915104,111.6287825,106.2929386,103.4891669,101.4203352,96.60456848,111.447313,107.0374424,108.3549919,114.0542857,119.7929177,120.5286835,123.0651806,121.9354289,117.1273016,120.2461831,120.6783775,133.7857494,127.2319861,113.0457796,117.0750836,116.0838217
Malaysia,MYS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,3.71,4.11,3.64,3.15,2.52,2.45,3.2,3.43,3,3.53,3.48,3.61,3.54,3.53,3.32,3.31,3.34,3.62,3.32,3.05,3.04,3.14,2.88,3.1,3.44,3.41,3.3,3.33,4.54,4.64,3.93,3.858,3.846
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.063182598,-0.180407722,0.108440268,3.105253656,-0.402731571,-0.105485232,0.967969025,4.57556214,-0.158346529,-0.409015025,1.843935966,1.613035964,3.231554224,10.56017574,17.32898098,4.487722269,2.633711507,4.788224014,4.860064586,3.654467998,6.674919535,9.7,5.81890003,3.704235463,3.897272601,0.346458791,0.737002855,0.290007909,2.556519453,2.813200897,2.617801047,4.358333333,4.7672283,3.536585366,3.724970554,3.450575096,3.488559459,2.662514597,5.270342003,2.744561302,1.534740237,1.416784732,1.807872463,1.089676326,1.421271159,2.975070927,3.609235642,2.027353178,5.440782211,0.583308406,1.622852356,3.174470922,1.663571025,2.105012312,3.142990509,2.104389802,2.090566595,3.871201158,0.884709161,0.662891866,-1.138702154,2.477102415,3.378698625,2.488865601,1.834100204
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,,,,,,,5,5.083333333,5.5,5.5,5.5,5.5,5,5.416666667,6.375,5.708333333,5.5,5.208333333,5.041666667,5.5,6.229166667,9.6775,9.75,8.020833333,9.5,8.8125,7.083333333,3,3.291666667,4.561666667,5.720833333,7.110833333,7.935,7.025833333,4.8925,5.933333333,7.085,7.776666667,8.513333333,4.124166667,3.3625,3.374166667,3.205,3.066666667,3,3.001666667,3.149166667,3.165833333,3.125833333,2.081666667,2.5025,2.910833333,2.980833333,2.97,3.048107787,3.134487179,3.02803563,2.924518667,3.143443722,2.983390625,1.954976736,1.561721181,1.94905,2.650416667,2.647115459
Malaysia,MYS,Broad money growth (annual %),FM.LBL.BMNY.ZG,,6.769416742,6.142088876,9.552,4.639501485,27.5332651,0.736903546,2.324907656,24.05152888,22.3838868,12.79313721,14.35125863,22.74353877,32.13034131,52.45444921,16.26402544,25.92750935,15.80975965,19.64821521,23.57856278,25.3397478,19.85047129,16.34869678,16.51641768,16.29090982,9.814562655,12.98365398,2.205564966,8.584013919,21.83141976,-43.73825754,16.8771825,71.91210626,26.36249551,11.50832082,18.52547412,18.48469865,16.03559651,0.229557897,12.09886722,10.04776511,11.63591058,4.484024329,8.62717994,12.68710273,8.79316995,13.63100781,7.922535768,10.53542511,7.739928126,7.347736051,14.62793829,8.846019729,7.397400682,6.304048086,3.043535132,2.801133603,4.644639093,7.68802392,2.674720321,4.593247706,5.559034094,3.997014915,5.831200971,3.276225398
Malaysia,MYS,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.390239522,8.495598649,6.498810578,4.808180972,3.626565493,3.354026707,2.681390308,2.015843113,1.849146571,1.64578546,1.606828288,1.614268256,1.549187227,1.468190965,1.516120898,1.567126711,1.67512095,1.718624666,1.653155801,
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,7.597994,6.421029609,7.338803527,5.35896291,7.684863475,7.816711026,3.857146492,7.977994642,4.888533653,5.98653863,10.03466058,9.388444991,11.70108161,8.318661974,0.801068092,11.56348978,7.75305838,6.653892215,9.349099931,7.441826779,6.942104201,5.943152458,6.252230811,7.761790122,-1.025250253,1.240594928,5.191932113,9.937719677,9.059600867,9.008527138,9.545467414,8.885117978,9.894943334,9.212041793,9.829085197,10.00270069,7.32274185,-7.359415188,6.137612011,8.85886817,0.517675319,5.390988307,5.788499286,6.783437724,5.332139161,5.584847067,6.298785927,4.831769889,-1.513528716,7.424847383,5.293912834,5.473454193,4.693722526,6.006721946,5.091532422,4.449781398,5.81272241,4.843086976,4.413187421,-5.456846584,3.315349544,9.03173723,3.537063804,5.10545921
