country_name,country_code,indicator_name,indicator_code,year,value
Malaysia,MYS,Broad money growth (annual %),FM.LBL.BMNY.ZG,2008,10.53542511
Malaysia,MYS,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,2008,4.808180972
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2008,4.831769889
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,2009,5.084166667
Malaysia,MYS,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,2009,111.447313
Malaysia,MYS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2009,3.62
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2009,0.583308406
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,2009,2.081666667
Malaysia,MYS,Broad money growth (annual %),FM.LBL.BMNY.ZG,2009,7.739928126
Malaysia,MYS,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,2009,3.626565493
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2009,-1.513528716
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,2010,5.0
Malaysia,MYS,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,2010,107.0374424
Malaysia,MYS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2010,3.32
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2010,1.622852356
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,2010,2.5025
Malaysia,MYS,Broad money growth (annual %),FM.LBL.BMNY.ZG,2010,7.347736051
Malaysia,MYS,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,2010,3.354026707
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2010,7.424847383
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,2011,4.915
Malaysia,MYS,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,2011,108.3549919
Malaysia,MYS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2011,3.05
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2011,3.174470922
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,2011,2.910833333
Malaysia,MYS,Broad money growth (annual %),FM.LBL.BMNY.ZG,2011,14.62793829
Malaysia,MYS,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,2011,2.681390308
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2011,5.293912834
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,2012,4.785833333
Malaysia,MYS,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,2012,114.0542857
Malaysia,MYS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2012,3.04
Malaysia,MYS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2012,1.663571025
Malaysia,MYS,Deposit interest rate (%),FR.INR.DPST,2012,2.980833333
Malaysia,MYS,Broad money growth (annual %),FM.LBL.BMNY.ZG,2012,8.846019729
Malaysia,MYS,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,2012,2.015843113
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2012,5.473454193
Malaysia,MYS,Lending interest rate (%),FR.INR.LEND,2013,4.6498
Malaysia,MYS,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,2013,119.7929177
Malaysia,MYS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2013,3.14
