Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Malaysia,MYS,Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS,,,,,,,,17.17397427,19.19541244,18.41643197,15.07198091,12.19062032,13.15128087,14.48626262,11.87971715,12.46031038,10.28190304,10.22070503,10.12970189,8.602202048,7.67613886,7.794278593,8.25068561,7.529881574,8.94098316,9.175702652,9.605125921,9.582361992,9.093530342,8.447341164,6.479386955,6.885022427,7.757611073,7.527536941,7.432771766,7.399247931,8.989395551,10.22794646,12.51617242,12.89847753,13.93069191,15.50526128,18.99912008,21.4032742,22.95935767,24.70031621,25.09677702,26.08120283,26.37275287,28.23780112,28.4799251,28.35220443,29.96669174,30.78426257,30.18321812,33.6967223,36.27603043,35.12350375,33.66780834,34.16442139,34.14855226,37.24234548,35.28195496,34.19684317,,
Malaysia,MYS,Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),TM.VAL.MRCH.R5.ZS,,,,,,,,1.868369167,1.637406264,1.863634783,1.856445547,2.019630583,1.70379159,2.038725103,1.774380368,1.519072609,1.74074467,1.41953616,1.371021909,1.201105167,1.164220794,1.077760381,0.854895025,0.980922558,0.969537164,1.027153605,0.987348604,0.959170924,1.138045745,1.308399195,0.906173706,0.955679334,1.109231982,1.055102297,0.85438029,0.849978478,1.069417656,1.07031248,0.889553689,0.913612341,0.992617982,1.156877239,0.925084357,0.898583312,1.314357396,1.048338791,1.108142609,1.51846153,2.147293894,1.983169257,1.671579449,2.03592595,2.163364245,2.744559595,2.156799543,2.503494902,2.757289847,3.563041884,3.248494694,3.134044446,3.399176127,2.840820149,2.715924778,2.788222045,,
Malaysia,MYS,Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),TM.VAL.MRCH.R1.ZS,,,,,,,,17.17397427,19.19541244,18.41643197,15.07198091,12.19062032,13.15128087,14.48626262,11.87971715,12.46031038,10.28190304,10.22070503,10.12970189,8.602202048,7.67613886,7.794278593,8.25068561,7.529881574,8.94098316,9.175702652,9.605125921,9.582361992,9.093530342,8.447341164,6.479386955,6.885022427,7.757611073,7.527536941,7.432771766,7.399247931,8.989395551,10.22794646,12.51617242,12.89847753,13.93069191,15.50526128,18.99912008,21.4032742,22.95935767,24.70031621,25.09677702,26.08120283,26.37275287,28.23780112,28.4799251,28.35220443,29.96669174,30.78426257,30.18321812,33.6967223,36.27603043,35.12350375,33.66780834,34.16442139,34.14855226,37.24234548,35.28195496,34.19684317,,
Malaysia,MYS,Merchandise imports from economies in the Arab World (% of total merchandise imports),TM.VAL.MRCH.AL.ZS,,,,,,,,4.094451225,3.946184385,3.859392928,3.10183535,3.195626962,3.020386814,2.585231518,5.217233862,7.164426584,7.266627771,6.548319858,5.999374478,7.435536244,8.6302585,7.579232712,4.785018207,4.960241956,4.108994266,3.929388947,2.123537162,2.096019353,1.682826222,1.212340683,1.107572115,0.840824977,0.807119584,0.825544008,0.567447759,0.577018317,0.654233362,0.778944455,0.846748131,1.063453088,1.95499529,2.315028048,1.597663447,2.120081003,2.19787607,3.017066731,3.829015468,3.329700239,4.495487557,3.301605095,3.652096175,4.558646557,5.293391293,4.885382296,5.515724939,4.30924914,4.061199482,3.971385692,4.796814451,5.12698305,4.895989653,3.612844589,6.092680274,6.984896462,,
Malaysia,MYS,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.16,39.02,37.93,42.83,39.23,38.04,36.07,33.5,23.36,30.11,29.8,25.62,23.12,22.62,23.08,24.01,24.7,25.22,25.08,24.14,26.83,27.04,,,,
Malaysia,MYS,Import unit value index (2015 = 100),TM.UVI.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,81.9,88.9,83.5,79.6,74.1,71,63.2,68.6,77.2,81.1,85.8,85,85.8,81.9,84.2,91.3,90.5,83.5,78,76.4,78,75.1,72.8,73.9,78,81.6,80.1,86.9,96.9,100.1,112.9,125.4,125.9,123.8,120.3,100,95.4,97.7,106.2,103.1,98.6,103.9,107.6,102.9,102.5,
Malaysia,MYS,"Tariff rate, applied, simple mean, primary products (%)",TM.TAX.TCOM.SM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.21,,,17.71,,13.37,,,16.28,13.51,14.23,16.44,13.11,7.46,4.27,8.17,25.62,3.49,7.04,10.23,9.82,9.92,9.84,8.34,8.16,10.93,1.8,,8.08,,,,5.44,5.62,4.97,,,
Malaysia,MYS,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,,,10.84,,9.33,,,6.27,5.37,5.23,5.14,4.81,5.06,4.2,4.57,5.37,4.27,3.68,3.71,3.89,3.55,3.12,4.17,4.41,4.44,1.28,,4.02,,,,3.6,3.62,3.42,,,
Malaysia,MYS,"Binding coverage, all products (%)",TM.TAX.MRCH.BC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.43,84.43,84.43,84.43,84.43,84.43,84.43,84.43,84.24,84.24,84.24,84.24,84.02,84.02,84.02,84.02,84.02,83.64,83.64,,83.64,,,,83.67,83.67,0,,,
Malaysia,MYS,"Tariff rate, applied, simple mean, manufactured products (%)",TM.TAX.MANF.SM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.88,,,16.21,,12.96,,,9.98,8.07,14.08,9.3,8.92,8.12,8.07,7.92,9.5,8.3,6.96,6.4,6.21,6.08,5.02,6.27,6.3,6.12,3.7,,5.83,,,,5.71,5.62,5.54,,,
