Country Name,Country Code,Indicator Name,Indicator Code,Theme,Indicator,Year,Value
Malaysia,MYS,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Financial System Support,Domestic Credit,2024,116.0838217
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Economic Well-being,GDP Growth,2000,8.85886817
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Economic Well-being,GDP Growth,2001,0.517675319
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Economic Well-being,GDP Growth,2002,5.390988307
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Economic Well-being,GDP Growth,2003,5.788499286
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Economic Well-being,GDP Growth,2004,6.783437724
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Economic Well-being,GDP Growth,2005,5.332139161
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Economic Well-being,GDP Growth,2006,5.584847067
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Economic Well-being,GDP Growth,2007,6.298785927
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Economic Well-being,GDP Growth,2008,4.831769889
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Economic Well-being,GDP Growth,2009,-1.513528716
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Economic Well-being,GDP Growth,2010,7.424847383
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Economic Well-being,GDP Growth,2011,5.293912834
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Economic Well-being,GDP Growth,2012,5.473454193
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Economic Well-being,GDP Growth,2013,4.693722526
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Economic Well-being,GDP Growth,2014,6.006721946
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Economic Well-being,GDP Growth,2015,5.091532422
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Economic Well-being,GDP Growth,2016,4.449781398
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Economic Well-being,GDP Growth,2017,5.81272241
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Economic Well-being,GDP Growth,2018,4.843086976
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Economic Well-being,GDP Growth,2019,4.413187421
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Economic Well-being,GDP Growth,2020,-5.456846584
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Economic Well-being,GDP Growth,2021,3.315349544
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Economic Well-being,GDP Growth,2022,9.03173723
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Economic Well-being,GDP Growth,2023,3.537063804
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Economic Well-being,GDP Growth,2024,5.10545921
Malaysia,MYS,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,Household Financial Behaviour,Gross Domestic Savings,2000,46.0803982
Malaysia,MYS,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,Household Financial Behaviour,Gross Domestic Savings,2001,41.83828305
Malaysia,MYS,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,Household Financial Behaviour,Gross Domestic Savings,2002,42.03197699
Malaysia,MYS,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,Household Financial Behaviour,Gross Domestic Savings,2003,42.4551483
Malaysia,MYS,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,Household Financial Behaviour,Gross Domestic Savings,2004,43.4221851
Malaysia,MYS,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,Household Financial Behaviour,Gross Domestic Savings,2005,44.33991074
Malaysia,MYS,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,Household Financial Behaviour,Gross Domestic Savings,2006,44.49733907
Malaysia,MYS,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,Household Financial Behaviour,Gross Domestic Savings,2007,43.28057835
Malaysia,MYS,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,Household Financial Behaviour,Gross Domestic Savings,2008,43.78900421
Malaysia,MYS,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,Household Financial Behaviour,Gross Domestic Savings,2009,38.11030824
Malaysia,MYS,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,Household Financial Behaviour,Gross Domestic Savings,2010,39.30224461
Malaysia,MYS,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,Household Financial Behaviour,Gross Domestic Savings,2011,38.76134789
Malaysia,MYS,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,Household Financial Behaviour,Gross Domestic Savings,2012,36.50669445
Malaysia,MYS,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,Household Financial Behaviour,Gross Domestic Savings,2013,34.47409912
Malaysia,MYS,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,Household Financial Behaviour,Gross Domestic Savings,2014,34.2523745
Malaysia,MYS,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,Household Financial Behaviour,Gross Domestic Savings,2015,32.95157254
Malaysia,MYS,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,Household Financial Behaviour,Gross Domestic Savings,2016,32.64739288
Malaysia,MYS,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,Household Financial Behaviour,Gross Domestic Savings,2017,32.4156551
Malaysia,MYS,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,Household Financial Behaviour,Gross Domestic Savings,2018,30.6047373
Malaysia,MYS,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,Household Financial Behaviour,Gross Domestic Savings,2019,28.57521205
Malaysia,MYS,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,Household Financial Behaviour,Gross Domestic Savings,2020,26.02569753
Malaysia,MYS,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,Household Financial Behaviour,Gross Domestic Savings,2021,29.35582487
Malaysia,MYS,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,Household Financial Behaviour,Gross Domestic Savings,2022,30.77728237
Malaysia,MYS,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,Household Financial Behaviour,Gross Domestic Savings,2023,27.56620451
Malaysia,MYS,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,Household Financial Behaviour,Gross Domestic Savings,2024,27.27348191
Malaysia,MYS,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),NE.CON.PRVT.PC.KD,Household Financial Behaviour,Household Consumption,2000,2635.634458
Malaysia,MYS,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),NE.CON.PRVT.PC.KD,Household Financial Behaviour,Household Consumption,2001,2650.938833
Malaysia,MYS,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),NE.CON.PRVT.PC.KD,Household Financial Behaviour,Household Consumption,2002,2687.787831
Malaysia,MYS,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),NE.CON.PRVT.PC.KD,Household Financial Behaviour,Household Consumption,2003,2837.907988
Malaysia,MYS,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),NE.CON.PRVT.PC.KD,Household Financial Behaviour,Household Consumption,2004,3046.176266
Malaysia,MYS,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),NE.CON.PRVT.PC.KD,Household Financial Behaviour,Household Consumption,2005,3249.138199
Malaysia,MYS,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),NE.CON.PRVT.PC.KD,Household Financial Behaviour,Household Consumption,2006,3387.623439
Malaysia,MYS,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),NE.CON.PRVT.PC.KD,Household Financial Behaviour,Household Consumption,2007,3660.978577
Malaysia,MYS,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),NE.CON.PRVT.PC.KD,Household Financial Behaviour,Household Consumption,2008,3897.661887
Malaysia,MYS,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),NE.CON.PRVT.PC.KD,Household Financial Behaviour,Household Consumption,2009,3841.948955
Malaysia,MYS,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),NE.CON.PRVT.PC.KD,Household Financial Behaviour,Household Consumption,2010,4029.50311
Malaysia,MYS,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),NE.CON.PRVT.PC.KD,Household Financial Behaviour,Household Consumption,2011,4231.346892
Malaysia,MYS,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),NE.CON.PRVT.PC.KD,Household Financial Behaviour,Household Consumption,2012,4507.071302
